sample_id,label,stamp_sec,stamp_nanosec,center_x,center_y,image_width,image_height,offset_x,offset_y,h,s,v
5,green,1788789462,376812436,342,166,640,480,-5,-5,83,250,112
5,green,1788789462,376812436,342,166,640,480,-4,-5,83,237,116
5,green,1788789462,376812436,342,166,640,480,-3,-5,83,237,116
5,green,1788789462,376812436,342,166,640,480,-2,-5,83,246,112
5,green,1788789462,376812436,342,166,640,480,-1,-5,83,253,109
5,green,1788789462,376812436,342,166,640,480,0,-5,83,250,108
5,green,1788789462,376812436,342,166,640,480,1,-5,83,244,111
5,green,1788789462,376812436,342,166,640,480,2,-5,83,246,108
5,green,1788789462,376812436,342,166,640,480,3,-5,83,241,110
5,green,1788789462,376812436,342,166,640,480,4,-5,83,237,112
5,green,1788789462,376812436,342,166,640,480,5,-5,83,239,111
5,green,1788789462,376812436,342,166,640,480,-5,-4,83,253,109
5,green,1788789462,376812436,342,166,640,480,-4,-4,83,248,111
5,green,1788789462,376812436,342,166,640,480,-3,-4,83,246,112
5,green,1788789462,376812436,342,166,640,480,-2,-4,83,244,111
5,green,1788789462,376812436,342,166,640,480,-1,-4,83,248,109
5,green,1788789462,376812436,342,166,640,480,0,-4,83,250,108
5,green,1788789462,376812436,342,166,640,480,1,-4,83,253,107
5,green,1788789462,376812436,342,166,640,480,2,-4,83,248,107
5,green,1788789462,376812436,342,166,640,480,3,-4,83,241,110
5,green,1788789462,376812436,342,166,640,480,4,-4,84,236,110
5,green,1788789462,376812436,342,166,640,480,5,-4,84,236,110
5,green,1788789462,376812436,342,166,640,480,-5,-3,83,253,109
5,green,1788789462,376812436,342,166,640,480,-4,-3,83,255,108
5,green,1788789462,376812436,342,166,640,480,-3,-3,83,253,109
5,green,1788789462,376812436,342,166,640,480,-2,-3,83,244,111
5,green,1788789462,376812436,342,166,640,480,-1,-3,83,244,111
5,green,1788789462,376812436,342,166,640,480,0,-3,83,253,107
5,green,1788789462,376812436,342,166,640,480,1,-3,83,255,104
5,green,1788789462,376812436,342,166,640,480,2,-3,83,250,106
5,green,1788789462,376812436,342,166,640,480,3,-3,83,248,107
5,green,1788789462,376812436,342,166,640,480,4,-3,84,243,107
5,green,1788789462,376812436,342,166,640,480,5,-3,84,248,105
5,green,1788789462,376812436,342,166,640,480,-5,-2,83,250,110
5,green,1788789462,376812436,342,166,640,480,-4,-2,83,255,106
5,green,1788789462,376812436,342,166,640,480,-3,-2,83,253,107
5,green,1788789462,376812436,342,166,640,480,-2,-2,83,244,111
5,green,1788789462,376812436,342,166,640,480,-1,-2,83,244,111
5,green,1788789462,376812436,342,166,640,480,0,-2,83,248,107
5,green,1788789462,376812436,342,166,640,480,1,-2,83,255,103
5,green,1788789462,376812436,342,166,640,480,2,-2,84,250,104
5,green,1788789462,376812436,342,166,640,480,3,-2,84,250,104
5,green,1788789462,376812436,342,166,640,480,4,-2,84,253,103
5,green,1788789462,376812436,342,166,640,480,5,-2,83,255,101
5,green,1788789462,376812436,342,166,640,480,-5,-1,83,248,111
5,green,1788789462,376812436,342,166,640,480,-4,-1,83,253,107
5,green,1788789462,376812436,342,166,640,480,-3,-1,83,250,108
5,green,1788789462,376812436,342,166,640,480,-2,-1,83,246,110
5,green,1788789462,376812436,342,166,640,480,-1,-1,83,244,111
5,green,1788789462,376812436,342,166,640,480,0,-1,83,246,108
5,green,1788789462,376812436,342,166,640,480,1,-1,83,255,104
5,green,1788789462,376812436,342,166,640,480,2,-1,84,248,105
5,green,1788789462,376812436,342,166,640,480,3,-1,84,248,105
5,green,1788789462,376812436,342,166,640,480,4,-1,84,250,104
5,green,1788789462,376812436,342,166,640,480,5,-1,84,253,103
5,green,1788789462,376812436,342,166,640,480,-5,0,83,241,112
5,green,1788789462,376812436,342,166,640,480,-4,0,83,246,110
5,green,1788789462,376812436,342,166,640,480,-3,0,83,248,109
5,green,1788789462,376812436,342,166,640,480,-2,0,83,243,109
5,green,1788789462,376812436,342,166,640,480,-1,0,83,243,109
5,green,1788789462,376812436,342,166,640,480,0,0,83,246,108
5,green,1788789462,376812436,342,166,640,480,1,0,83,248,107
5,green,1788789462,376812436,342,166,640,480,2,0,84,241,108
5,green,1788789462,376812436,342,166,640,480,3,0,84,236,110
5,green,1788789462,376812436,342,166,640,480,4,0,84,229,110
5,green,1788789462,376812436,342,166,640,480,5,0,84,229,110
5,green,1788789462,376812436,342,166,640,480,-5,1,83,237,114
5,green,1788789462,376812436,342,166,640,480,-4,1,83,239,113
5,green,1788789462,376812436,342,166,640,480,-3,1,83,244,111
5,green,1788789462,376812436,342,166,640,480,-2,1,83,243,109
5,green,1788789462,376812436,342,166,640,480,-1,1,83,246,108
5,green,1788789462,376812436,342,166,640,480,0,1,83,243,109
5,green,1788789462,376812436,342,166,640,480,1,1,83,243,109
5,green,1788789462,376812436,342,166,640,480,2,1,84,234,111
5,green,1788789462,376812436,342,166,640,480,3,1,84,228,114
5,green,1788789462,376812436,342,166,640,480,4,1,84,216,117
5,green,1788789462,376812436,342,166,640,480,5,1,84,212,119
5,green,1788789462,376812436,342,166,640,480,-5,2,83,239,111
5,green,1788789462,376812436,342,166,640,480,-4,2,83,235,113
5,green,1788789462,376812436,342,166,640,480,-3,2,83,237,112
5,green,1788789462,376812436,342,166,640,480,-2,2,84,241,108
5,green,1788789462,376812436,342,166,640,480,-1,2,84,250,104
5,green,1788789462,376812436,342,166,640,480,0,2,84,253,103
5,green,1788789462,376812436,342,166,640,480,1,2,84,253,103
5,green,1788789462,376812436,342,166,640,480,2,2,84,220,115
5,green,1788789462,376812436,342,166,640,480,3,2,84,214,118
5,green,1788789462,376812436,342,166,640,480,4,2,84,208,119
5,green,1788789462,376812436,342,166,640,480,5,2,84,213,116
5,green,1788789462,376812436,342,166,640,480,-5,3,83,235,113
5,green,1788789462,376812436,342,166,640,480,-4,3,83,233,114
5,green,1788789462,376812436,342,166,640,480,-3,3,83,235,113
5,green,1788789462,376812436,342,166,640,480,-2,3,84,239,109
5,green,1788789462,376812436,342,166,640,480,-1,3,84,243,107
5,green,1788789462,376812436,342,166,640,480,0,3,84,243,107
5,green,1788789462,376812436,342,166,640,480,1,3,84,241,108
5,green,1788789462,376812436,342,166,640,480,2,3,84,225,112
5,green,1788789462,376812436,342,166,640,480,3,3,84,220,115
5,green,1788789462,376812436,342,166,640,480,4,3,84,213,116
5,green,1788789462,376812436,342,166,640,480,5,3,84,215,115
5,green,1788789462,376812436,342,166,640,480,-5,4,83,237,112
5,green,1788789462,376812436,342,166,640,480,-4,4,84,234,111
5,green,1788789462,376812436,342,166,640,480,-3,4,84,236,110
5,green,1788789462,376812436,342,166,640,480,-2,4,84,241,108
5,green,1788789462,376812436,342,166,640,480,-1,4,84,241,108
5,green,1788789462,376812436,342,166,640,480,0,4,84,232,109
5,green,1788789462,376812436,342,166,640,480,1,4,84,227,111
5,green,1788789462,376812436,342,166,640,480,2,4,84,238,104
5,green,1788789462,376812436,342,166,640,480,3,4,84,231,107
5,green,1788789462,376812436,342,166,640,480,4,4,84,227,109
5,green,1788789462,376812436,342,166,640,480,5,4,84,227,109
5,green,1788789462,376812436,342,166,640,480,-5,5,83,246,108
5,green,1788789462,376812436,342,166,640,480,-4,5,84,243,107
